path,kind,size,background,reference_images,prompt,notes
output/backgrounds/duel_town_day.png,background,1536x1024,opaque,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Empty centered frontier main street in daylight, no people, no foreground weapon, clean duel lane.",
output/backgrounds/duel_town_sunset.png,background,1536x1024,opaque,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Empty centered frontier main street at blazing sunset with giant low sun, no people or weapons.",
output/backgrounds/duel_town_night.png,background,1536x1024,opaque,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Same western town geometry at moonlit night, empty street, lanterns, no people or weapons.",
output/backgrounds/duel_arena.png,background,1536x1024,opaque,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Wide empty desert duel arena with fence, windmill and mesas, sunset, no characters.",
output/characters/player/player_idle.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Same male gunslinger identity in every frame: black wide-brim hat, dark long duster, brown leather gun belt, black shirt, weathered boots, same face/proportions. Full-body neutral duel stance, hands near holster, transparent background.",Generate idle first; later states must use accepted idle as identity reference.
output/characters/player/player_draw.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Same male gunslinger identity in every frame: black wide-brim hat, dark long duster, brown leather gun belt, black shirt, weathered boots, same face/proportions. Full-body quick-draw transition, revolver clearing holster naturally, transparent background.",Generate idle first; later states must use accepted idle as identity reference.
output/characters/player/player_fire.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Same male gunslinger identity in every frame: black wide-brim hat, dark long duster, brown leather gun belt, black shirt, weathered boots, same face/proportions. Full-body quick-draw firing pose at waist/chest level toward opponent; correct gun alignment; NO muzzle flash; transparent background.",Generate idle first; later states must use accepted idle as identity reference.
output/characters/player/player_hit.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Same male gunslinger identity in every frame: black wide-brim hat, dark long duster, brown leather gun belt, black shirt, weathered boots, same face/proportions. Full-body non-gory hit reaction, torso recoils, balance breaking, no blood, transparent background.",Generate idle first; later states must use accepted idle as identity reference.
output/characters/player/player_down.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. Same male gunslinger identity in every frame: black wide-brim hat, dark long duster, brown leather gun belt, black shirt, weathered boots, same face/proportions. Full-body natural falling/down pose with knees buckling; same identity; non-gory; not grotesque; transparent background.",Generate idle first; later states must use accepted idle as identity reference.
output/characters/npc/npc_01_the_drifter_portrait.png,portrait,1024x1024,opaque,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. NPC #1 The Drifter, bronze tier, ability none. weathered cowboy, torn poncho, dusty bandana. Keep exact same identity across poses. Chest-up western portrait, neutral wanted-poster composition, no text.",
output/characters/npc/npc_01_the_drifter_idle.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. NPC #1 The Drifter, bronze tier, ability none. weathered cowboy, torn poncho, dusty bandana. Keep exact same identity across poses. Full-body duel idle facing player, hand near holster. Transparent background.","Generate portrait/idle first, then use accepted identity as reference for later poses."
output/characters/npc/npc_01_the_drifter_aim.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. NPC #1 The Drifter, bronze tier, ability none. weathered cowboy, torn poncho, dusty bandana. Keep exact same identity across poses. Full-body quick-draw/aim pose, revolver raised naturally. Transparent background.","Generate portrait/idle first, then use accepted identity as reference for later poses."
output/characters/npc/npc_01_the_drifter_shoot.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. NPC #1 The Drifter, bronze tier, ability none. weathered cowboy, torn poncho, dusty bandana. Keep exact same identity across poses. Full-body shooting pose aimed at player, NO muzzle flash baked in. Transparent background.","Generate portrait/idle first, then use accepted identity as reference for later poses."
output/characters/npc/npc_01_the_drifter_defeat.png,character,1024x1536,transparent,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. NPC #1 The Drifter, bronze tier, ability none. weathered cowboy, torn poncho, dusty bandana. Keep exact same identity across poses. Non-gory falling/defeated pose, knees or torso giving way. Transparent background.","Generate portrait/idle first, then use accepted identity as reference for later poses."
output/characters/npc/npc_02_rusty_muzzle_portrait.png,portrait,1024x1024,opaque,references/high_noon_master_reference.png,"HIGH NOON mobile game art. cinematic spaghetti western, realistic stylized game art, burnt-orange sunset, deep brown shadows, dusty frontier town, weathered leather and steel, dramatic rim light, grounded anatomy. No text, no logo, no watermark. NPC #2 Rusty Muzzle, bronze tier, ability none. rusted holster, patchy leather vest, broken hat brim. Keep exact same identity across poses. Chest-up western portrait, neutral wanted-poster composition, no text.",
